tipo;id;url;pagina_origem;painel
programa;81;https://www.escolavirtual.gov.br/programa/81;3;Não
programa;80;https://www.escolavirtual.gov.br/programa/80;3;Não
programa;79;https://www.escolavirtual.gov.br/programa/79;3;Não
programa;77;https://www.escolavirtual.gov.br/programa/77;3;Não
programa;189;https://www.escolavirtual.gov.br/programa/189;3;Não
programa;25;https://www.escolavirtual.gov.br/programa/25;3;Não
programa;123;https://www.escolavirtual.gov.br/programa/123;4;Não
programa;136;https://www.escolavirtual.gov.br/programa/136;4;Não
programa;135;https://www.escolavirtual.gov.br/programa/135;4;Não
programa;24;https://www.escolavirtual.gov.br/programa/24;4;Não
programa;26;https://www.escolavirtual.gov.br/programa/26;4;Não
programa;35;https://www.escolavirtual.gov.br/programa/35;4;Não
programa;31;https://www.escolavirtual.gov.br/programa/31;4;Não
programa;37;https://www.escolavirtual.gov.br/programa/37;4;Não
programa;28;https://www.escolavirtual.gov.br/programa/28;4;Não
programa;34;https://www.escolavirtual.gov.br/programa/34;4;Não
programa;39;https://www.escolavirtual.gov.br/programa/39;4;Não
programa;124;https://www.escolavirtual.gov.br/programa/124;4;Não
programa;23;https://www.escolavirtual.gov.br/programa/23;4;Não
programa;127;https://www.escolavirtual.gov.br/programa/127;4;Não
programa;117;https://www.escolavirtual.gov.br/programa/117;4;Não
programa;154;https://www.escolavirtual.gov.br/programa/154;4;Não
programa;187;https://www.escolavirtual.gov.br/programa/187;4;Não
programa;118;https://www.escolavirtual.gov.br/programa/118;4;Não
programa;11;https://www.escolavirtual.gov.br/programa/11;4;Não
curso;1591;https://www.escolavirtual.gov.br/curso/1591;1;Não
curso;1197;https://www.escolavirtual.gov.br/curso/1197;1;Não
curso;1588;https://www.escolavirtual.gov.br/curso/1588;1;Não
curso;1518;https://www.escolavirtual.gov.br/curso/1518;1;Não
curso;1554;https://www.escolavirtual.gov.br/curso/1554;1;Não
curso;1205;https://www.escolavirtual.gov.br/curso/1205;1;Não
curso;1560;https://www.escolavirtual.gov.br/curso/1560;1;Não
curso;1559;https://www.escolavirtual.gov.br/curso/1559;1;Não
curso;1546;https://www.escolavirtual.gov.br/curso/1546;1;Não
curso;1557;https://www.escolavirtual.gov.br/curso/1557;1;Não
curso;1558;https://www.escolavirtual.gov.br/curso/1558;1;Não
curso;1548;https://www.escolavirtual.gov.br/curso/1548;1;Não
curso;1552;https://www.escolavirtual.gov.br/curso/1552;2;Não
curso;1547;https://www.escolavirtual.gov.br/curso/1547;2;Não
curso;1553;https://www.escolavirtual.gov.br/curso/1553;2;Não
curso;1544;https://www.escolavirtual.gov.br/curso/1544;2;Não
curso;1550;https://www.escolavirtual.gov.br/curso/1550;2;Não
curso;1549;https://www.escolavirtual.gov.br/curso/1549;2;Não
curso;1366;https://www.escolavirtual.gov.br/curso/1366;2;Não
curso;1545;https://www.escolavirtual.gov.br/curso/1545;2;Não
curso;1208;https://www.escolavirtual.gov.br/curso/1208;2;Não
curso;1531;https://www.escolavirtual.gov.br/curso/1531;2;Não
curso;1539;https://www.escolavirtual.gov.br/curso/1539;2;Não
curso;1537;https://www.escolavirtual.gov.br/curso/1537;2;Não
curso;1533;https://www.escolavirtual.gov.br/curso/1533;3;Não
curso;1512;https://www.escolavirtual.gov.br/curso/1512;3;Não
curso;1508;https://www.escolavirtual.gov.br/curso/1508;3;Não
curso;1500;https://www.escolavirtual.gov.br/curso/1500;3;Não
curso;1511;https://www.escolavirtual.gov.br/curso/1511;3;Não
curso;663;https://www.escolavirtual.gov.br/curso/663;3;Não
curso;1199;https://www.escolavirtual.gov.br/curso/1199;3;Não
curso;1496;https://www.escolavirtual.gov.br/curso/1496;3;Não
curso;1510;https://www.escolavirtual.gov.br/curso/1510;3;Não
curso;1509;https://www.escolavirtual.gov.br/curso/1509;3;Não
curso;1502;https://www.escolavirtual.gov.br/curso/1502;3;Não
curso;1505;https://www.escolavirtual.gov.br/curso/1505;3;Não
curso;1206;https://www.escolavirtual.gov.br/curso/1206;4;Não
curso;1364;https://www.escolavirtual.gov.br/curso/1364;4;Não
curso;1495;https://www.escolavirtual.gov.br/curso/1495;4;Não
curso;1498;https://www.escolavirtual.gov.br/curso/1498;4;Não
curso;1497;https://www.escolavirtual.gov.br/curso/1497;4;Não
curso;1499;https://www.escolavirtual.gov.br/curso/1499;4;Não
curso;1501;https://www.escolavirtual.gov.br/curso/1501;4;Não
curso;1494;https://www.escolavirtual.gov.br/curso/1494;4;Não
curso;1369;https://www.escolavirtual.gov.br/curso/1369;4;Não
curso;1209;https://www.escolavirtual.gov.br/curso/1209;4;Não
curso;1489;https://www.escolavirtual.gov.br/curso/1489;4;Não
curso;1487;https://www.escolavirtual.gov.br/curso/1487;4;Não
curso;1262;https://www.escolavirtual.gov.br/curso/1262;5;Não
curso;1200;https://www.escolavirtual.gov.br/curso/1200;5;Não
curso;1488;https://www.escolavirtual.gov.br/curso/1488;5;Não
curso;1484;https://www.escolavirtual.gov.br/curso/1484;5;Não
curso;1485;https://www.escolavirtual.gov.br/curso/1485;5;Não
curso;1472;https://www.escolavirtual.gov.br/curso/1472;5;Não
curso;1459;https://www.escolavirtual.gov.br/curso/1459;5;Não
curso;1470;https://www.escolavirtual.gov.br/curso/1470;5;Não
curso;1471;https://www.escolavirtual.gov.br/curso/1471;5;Não
curso;1462;https://www.escolavirtual.gov.br/curso/1462;5;Não
curso;1463;https://www.escolavirtual.gov.br/curso/1463;5;Não
curso;1461;https://www.escolavirtual.gov.br/curso/1461;5;Não
curso;838;https://www.escolavirtual.gov.br/curso/838;6;Não
curso;1448;https://www.escolavirtual.gov.br/curso/1448;6;Não
curso;556;https://www.escolavirtual.gov.br/curso/556;6;Não
curso;1246;https://www.escolavirtual.gov.br/curso/1246;6;Não
curso;667;https://www.escolavirtual.gov.br/curso/667;6;Não
curso;635;https://www.escolavirtual.gov.br/curso/635;6;Não
curso;1450;https://www.escolavirtual.gov.br/curso/1450;6;Não
curso;1425;https://www.escolavirtual.gov.br/curso/1425;6;Não
curso;1203;https://www.escolavirtual.gov.br/curso/1203;6;Não
curso;1409;https://www.escolavirtual.gov.br/curso/1409;6;Não
curso;1408;https://www.escolavirtual.gov.br/curso/1408;6;Não
curso;1460;https://www.escolavirtual.gov.br/curso/1460;6;Não
curso;1245;https://www.escolavirtual.gov.br/curso/1245;7;Não
curso;1421;https://www.escolavirtual.gov.br/curso/1421;7;Não
curso;1444;https://www.escolavirtual.gov.br/curso/1444;7;Não
curso;1445;https://www.escolavirtual.gov.br/curso/1445;7;Não
curso;1244;https://www.escolavirtual.gov.br/curso/1244;7;Não
curso;1452;https://www.escolavirtual.gov.br/curso/1452;7;Não
curso;1449;https://www.escolavirtual.gov.br/curso/1449;7;Não
curso;1447;https://www.escolavirtual.gov.br/curso/1447;7;Não
curso;1451;https://www.escolavirtual.gov.br/curso/1451;7;Não
curso;846;https://www.escolavirtual.gov.br/curso/846;7;Não
curso;1446;https://www.escolavirtual.gov.br/curso/1446;7;Não
curso;1443;https://www.escolavirtual.gov.br/curso/1443;7;Não
curso;632;https://www.escolavirtual.gov.br/curso/632;8;Não
curso;964;https://www.escolavirtual.gov.br/curso/964;8;Não
curso;1367;https://www.escolavirtual.gov.br/curso/1367;8;Não
curso;1202;https://www.escolavirtual.gov.br/curso/1202;8;Não
curso;1442;https://www.escolavirtual.gov.br/curso/1442;8;Não
curso;1439;https://www.escolavirtual.gov.br/curso/1439;8;Não
curso;1432;https://www.escolavirtual.gov.br/curso/1432;8;Não
curso;1437;https://www.escolavirtual.gov.br/curso/1437;8;Não
curso;1207;https://www.escolavirtual.gov.br/curso/1207;8;Não
curso;1440;https://www.escolavirtual.gov.br/curso/1440;8;Não
curso;1420;https://www.escolavirtual.gov.br/curso/1420;8;Não
curso;653;https://www.escolavirtual.gov.br/curso/653;8;Não
curso;1404;https://www.escolavirtual.gov.br/curso/1404;9;Não
curso;947;https://www.escolavirtual.gov.br/curso/947;9;Não
curso;1430;https://www.escolavirtual.gov.br/curso/1430;9;Não
curso;1405;https://www.escolavirtual.gov.br/curso/1405;9;Não
curso;1034;https://www.escolavirtual.gov.br/curso/1034;9;Não
curso;682;https://www.escolavirtual.gov.br/curso/682;9;Não
curso;1422;https://www.escolavirtual.gov.br/curso/1422;9;Não
curso;1371;https://www.escolavirtual.gov.br/curso/1371;9;Não
curso;1196;https://www.escolavirtual.gov.br/curso/1196;9;Não
curso;1419;https://www.escolavirtual.gov.br/curso/1419;9;Não
curso;1039;https://www.escolavirtual.gov.br/curso/1039;9;Não
curso;1416;https://www.escolavirtual.gov.br/curso/1416;9;Não
curso;1414;https://www.escolavirtual.gov.br/curso/1414;10;Não
curso;1417;https://www.escolavirtual.gov.br/curso/1417;10;Não
curso;1400;https://www.escolavirtual.gov.br/curso/1400;10;Não
curso;1415;https://www.escolavirtual.gov.br/curso/1415;10;Não
curso;1413;https://www.escolavirtual.gov.br/curso/1413;10;Não
curso;1412;https://www.escolavirtual.gov.br/curso/1412;10;Não
curso;1410;https://www.escolavirtual.gov.br/curso/1410;10;Não
curso;1411;https://www.escolavirtual.gov.br/curso/1411;10;Não
curso;1042;https://www.escolavirtual.gov.br/curso/1042;10;Não
curso;1399;https://www.escolavirtual.gov.br/curso/1399;10;Não
curso;1407;https://www.escolavirtual.gov.br/curso/1407;10;Não
curso;1204;https://www.escolavirtual.gov.br/curso/1204;10;Não
curso;1398;https://www.escolavirtual.gov.br/curso/1398;11;Não
curso;1401;https://www.escolavirtual.gov.br/curso/1401;11;Não
curso;1402;https://www.escolavirtual.gov.br/curso/1402;11;Não
curso;1201;https://www.escolavirtual.gov.br/curso/1201;11;Não
curso;1395;https://www.escolavirtual.gov.br/curso/1395;11;Sim
curso;1182;https://www.escolavirtual.gov.br/curso/1182;11;Não
curso;1054;https://www.escolavirtual.gov.br/curso/1054;11;Não
curso;1384;https://www.escolavirtual.gov.br/curso/1384;11;Não
curso;1394;https://www.escolavirtual.gov.br/curso/1394;11;Não
curso;1382;https://www.escolavirtual.gov.br/curso/1382;11;Não
curso;1036;https://www.escolavirtual.gov.br/curso/1036;11;Não
curso;1380;https://www.escolavirtual.gov.br/curso/1380;11;Não
curso;1393;https://www.escolavirtual.gov.br/curso/1393;12;Não
curso;1392;https://www.escolavirtual.gov.br/curso/1392;12;Não
curso;1386;https://www.escolavirtual.gov.br/curso/1386;12;Não
curso;1383;https://www.escolavirtual.gov.br/curso/1383;12;Não
curso;1381;https://www.escolavirtual.gov.br/curso/1381;12;Não
curso;1192;https://www.escolavirtual.gov.br/curso/1192;12;Não
curso;1378;https://www.escolavirtual.gov.br/curso/1378;12;Não
curso;617;https://www.escolavirtual.gov.br/curso/617;12;Não
curso;1043;https://www.escolavirtual.gov.br/curso/1043;12;Não
curso;1049;https://www.escolavirtual.gov.br/curso/1049;12;Não
curso;1379;https://www.escolavirtual.gov.br/curso/1379;12;Não
curso;1336;https://www.escolavirtual.gov.br/curso/1336;12;Não
curso;1373;https://www.escolavirtual.gov.br/curso/1373;13;Não
curso;1338;https://www.escolavirtual.gov.br/curso/1338;13;Não
curso;1351;https://www.escolavirtual.gov.br/curso/1351;13;Não
curso;1350;https://www.escolavirtual.gov.br/curso/1350;13;Não
curso;1374;https://www.escolavirtual.gov.br/curso/1374;13;Não
curso;1376;https://www.escolavirtual.gov.br/curso/1376;13;Não
curso;1375;https://www.escolavirtual.gov.br/curso/1375;13;Não
curso;1377;https://www.escolavirtual.gov.br/curso/1377;13;Não
curso;1337;https://www.escolavirtual.gov.br/curso/1337;13;Não
curso;1335;https://www.escolavirtual.gov.br/curso/1335;13;Não
curso;1360;https://www.escolavirtual.gov.br/curso/1360;13;Não
curso;1349;https://www.escolavirtual.gov.br/curso/1349;13;Não
curso;1334;https://www.escolavirtual.gov.br/curso/1334;14;Não
curso;1359;https://www.escolavirtual.gov.br/curso/1359;14;Não
curso;1355;https://www.escolavirtual.gov.br/curso/1355;14;Não
curso;1354;https://www.escolavirtual.gov.br/curso/1354;14;Não
curso;1357;https://www.escolavirtual.gov.br/curso/1357;14;Não
curso;1358;https://www.escolavirtual.gov.br/curso/1358;14;Não
curso;1356;https://www.escolavirtual.gov.br/curso/1356;14;Não
curso;646;https://www.escolavirtual.gov.br/curso/646;14;Não
curso;1348;https://www.escolavirtual.gov.br/curso/1348;14;Não
curso;1048;https://www.escolavirtual.gov.br/curso/1048;14;Não
curso;1194;https://www.escolavirtual.gov.br/curso/1194;14;Não
curso;1353;https://www.escolavirtual.gov.br/curso/1353;14;Não
curso;1346;https://www.escolavirtual.gov.br/curso/1346;15;Não
curso;1352;https://www.escolavirtual.gov.br/curso/1352;15;Não
curso;1341;https://www.escolavirtual.gov.br/curso/1341;15;Não
curso;634;https://www.escolavirtual.gov.br/curso/634;15;Não
curso;1342;https://www.escolavirtual.gov.br/curso/1342;15;Não
curso;648;https://www.escolavirtual.gov.br/curso/648;15;Não
curso;1343;https://www.escolavirtual.gov.br/curso/1343;15;Não
curso;1345;https://www.escolavirtual.gov.br/curso/1345;15;Não
curso;850;https://www.escolavirtual.gov.br/curso/850;15;Não
curso;1344;https://www.escolavirtual.gov.br/curso/1344;15;Não
curso;1347;https://www.escolavirtual.gov.br/curso/1347;15;Não
curso;651;https://www.escolavirtual.gov.br/curso/651;15;Não
curso;1333;https://www.escolavirtual.gov.br/curso/1333;16;Não
curso;1330;https://www.escolavirtual.gov.br/curso/1330;16;Não
curso;1339;https://www.escolavirtual.gov.br/curso/1339;16;Não
curso;1340;https://www.escolavirtual.gov.br/curso/1340;16;Não
curso;1046;https://www.escolavirtual.gov.br/curso/1046;16;Não
curso;645;https://www.escolavirtual.gov.br/curso/645;16;Não
curso;1159;https://www.escolavirtual.gov.br/curso/1159;16;Não
curso;1158;https://www.escolavirtual.gov.br/curso/1158;16;Não
curso;1157;https://www.escolavirtual.gov.br/curso/1157;16;Não
curso;1280;https://www.escolavirtual.gov.br/curso/1280;16;Não
curso;1332;https://www.escolavirtual.gov.br/curso/1332;16;Não
curso;1045;https://www.escolavirtual.gov.br/curso/1045;16;Não
curso;1329;https://www.escolavirtual.gov.br/curso/1329;17;Não
curso;1325;https://www.escolavirtual.gov.br/curso/1325;17;Não
curso;1231;https://www.escolavirtual.gov.br/curso/1231;17;Não
curso;1328;https://www.escolavirtual.gov.br/curso/1328;17;Sim
curso;1327;https://www.escolavirtual.gov.br/curso/1327;17;Não
curso;1038;https://www.escolavirtual.gov.br/curso/1038;17;Não
curso;1198;https://www.escolavirtual.gov.br/curso/1198;17;Não
curso;1044;https://www.escolavirtual.gov.br/curso/1044;17;Não
curso;660;https://www.escolavirtual.gov.br/curso/660;17;Não
curso;1305;https://www.escolavirtual.gov.br/curso/1305;17;Sim
curso;1304;https://www.escolavirtual.gov.br/curso/1304;17;Sim
curso;1326;https://www.escolavirtual.gov.br/curso/1326;17;Não
curso;1276;https://www.escolavirtual.gov.br/curso/1276;18;Não
curso;1191;https://www.escolavirtual.gov.br/curso/1191;18;Não
curso;1193;https://www.escolavirtual.gov.br/curso/1193;18;Não
curso;1314;https://www.escolavirtual.gov.br/curso/1314;18;Não
curso;1050;https://www.escolavirtual.gov.br/curso/1050;18;Não
curso;1275;https://www.escolavirtual.gov.br/curso/1275;18;Não
